year,month,job_role,job_openings,avg_salary_usd,remote_pct,python_pct,aws_pct,gdp_growth,vc_funding_tech_bn,emerging_flag
2020,1,Software Engineer,45000,92000,20,80,40,2.1,50.2,0
2020,1,Data Scientist,12500,105000,25,90,50,2.1,50.2,0
2020,1,DevOps Engineer,8200,110000,30,70,85,2.1,50.2,0
2020,1,Cybersecurity Analyst,6800,98000,15,50,30,2.1,50.2,0
2020,1,AI Research Scientist,3500,135000,10,95,40,2.1,50.2,1
2020,1,Cloud Architect,5200,125000,25,60,90,2.1,50.2,0
2020,1,Blockchain Developer,1800,128000,35,65,30,2.1,50.2,1
2020,1,Data Engineer,9500,102000,20,85,65,2.1,50.2,0
2020,1,Full Stack Developer,38000,95000,15,75,45,2.1,50.2,0
2020,1,Network Engineer,12000,89000,10,40,50,2.1,50.2,0
2020,1,IT Project Manager,15000,115000,5,30,40,2.1,50.2,0
2020,1,UX/UI Designer,22000,85000,30,20,10,2.1,50.2,0
2020,1,Database Administrator,11000,93000,15,50,60,2.1,50.2,0
2020,1,Systems Administrator,14000,87000,10,45,55,2.1,50.2,0
2020,1,QA Engineer,16000,82000,15,60,30,2.1,50.2,0
2020,2,Software Engineer,45500,92500,21,81,42,2,50.5,0
2020,2,Data Scientist,12800,106000,26,91,52,2,50.5,0
2020,2,DevOps Engineer,8400,111000,31,71,86,2,50.5,0
2020,2,Cybersecurity Analyst,7000,99000,16,52,32,2,50.5,0
2020,2,AI Research Scientist,3600,136000,11,96,42,2,50.5,1
2020,2,Cloud Architect,5300,126000,26,61,91,2,50.5,0
2020,2,Blockchain Developer,1850,129000,36,66,31,2,50.5,1
2020,2,Data Engineer,9600,103000,21,86,66,2,50.5,0
2020,2,Full Stack Developer,38500,95500,16,76,46,2,50.5,0
2020,2,Network Engineer,12100,89500,11,41,51,2,50.5,0
2020,2,IT Project Manager,15100,116000,6,31,41,2,50.5,0
2020,2,UX/UI Designer,22100,85500,31,21,11,2,50.5,0
2020,2,Database Administrator,11100,93500,16,51,61,2,50.5,0
2020,2,Systems Administrator,14100,87500,11,46,56,2,50.5,0
2020,2,QA Engineer,16100,82500,16,61,31,2,50.5,0
2020,3,Software Engineer,46000,93000,22,82,43,1.9,51,0
2020,3,Data Scientist,13000,107000,27,92,53,1.9,51,0
2020,3,DevOps Engineer,8600,112000,32,72,87,1.9,51,0
2020,3,Cybersecurity Analyst,7200,100000,17,53,33,1.9,51,0
2020,3,AI Research Scientist,3700,137000,12,97,43,1.9,51,1
2020,3,Cloud Architect,5400,127000,27,62,92,1.9,51,0
2020,3,Blockchain Developer,1900,130000,37,67,32,1.9,51,1
2020,3,Data Engineer,9700,104000,22,87,67,1.9,51,0
2020,3,Full Stack Developer,39000,96000,17,77,47,1.9,51,0
2020,3,Network Engineer,12200,90000,12,42,52,1.9,51,0
2020,3,IT Project Manager,15200,117000,7,32,42,1.9,51,0
2020,3,UX/UI Designer,22200,86000,32,22,12,1.9,51,0
2020,3,Database Administrator,11200,94000,17,52,62,1.9,51,0
2020,3,Systems Administrator,14200,88000,12,47,57,1.9,51,0
2020,3,QA Engineer,16200,83000,17,62,32,1.9,51,0
2020,4,Software Engineer,46500,93500,23,83,44,1.8,51.5,0
2020,4,Data Scientist,13200,108000,28,93,54,1.8,51.5,0
2020,4,DevOps Engineer,8800,113000,33,73,88,1.8,51.5,0
2020,4,Cybersecurity Analyst,7400,101000,18,54,34,1.8,51.5,0
2020,4,AI Research Scientist,3800,138000,13,98,44,1.8,51.5,1
2020,4,Cloud Architect,5500,128000,28,63,93,1.8,51.5,0
2020,4,Blockchain Developer,1950,131000,38,68,33,1.8,51.5,1
2020,4,Data Engineer,9800,105000,23,88,68,1.8,51.5,0
2020,4,Full Stack Developer,39500,96500,18,78,48,1.8,51.5,0
2020,4,Network Engineer,12300,90500,13,43,53,1.8,51.5,0
2020,4,IT Project Manager,15300,118000,8,33,43,1.8,51.5,0
2020,4,UX/UI Designer,22300,86500,33,23,13,1.8,51.5,0
2020,4,Database Administrator,11300,94500,18,53,63,1.8,51.5,0
2020,4,Systems Administrator,14300,88500,13,48,58,1.8,51.5,0
2020,4,QA Engineer,16300,83500,18,63,33,1.8,51.5,0
2020,5,Software Engineer,47000,94000,24,84,45,1.7,52,0
2020,5,Data Scientist,13400,109000,29,94,55,1.7,52,0
2020,5,DevOps Engineer,9000,114000,34,74,89,1.7,52,0
2020,5,Cybersecurity Analyst,7600,102000,19,55,35,1.7,52,0
2020,5,AI Research Scientist,3900,139000,14,99,45,1.7,52,1
2020,5,Cloud Architect,5600,129000,29,64,94,1.7,52,0
2020,5,Blockchain Developer,2000,132000,39,69,34,1.7,52,1
2020,5,Data Engineer,9900,106000,24,89,69,1.7,52,0
2020,5,Full Stack Developer,40000,97000,19,79,49,1.7,52,0
2020,5,Network Engineer,12400,91000,14,44,54,1.7,52,0
2020,5,IT Project Manager,15400,119000,9,34,44,1.7,52,0
2020,5,UX/UI Designer,22400,87000,34,24,14,1.7,52,0
2020,5,Database Administrator,11400,95000,19,54,64,1.7,52,0
2020,5,Systems Administrator,14400,89000,14,49,59,1.7,52,0
2020,5,QA Engineer,16400,84000,19,64,34,1.7,52,0
2020,6,Software Engineer,47500,94500,25,85,46,1.6,52.5,0
2020,6,Data Scientist,13600,110000,30,95,56,1.6,52.5,0
2020,6,DevOps Engineer,9200,115000,35,75,90,1.6,52.5,0
2020,6,Cybersecurity Analyst,7800,103000,20,56,36,1.6,52.5,0
2020,6,AI Research Scientist,4000,140000,15,100,46,1.6,52.5,1
2020,6,Cloud Architect,5700,130000,30,65,95,1.6,52.5,0
2020,6,Blockchain Developer,2050,133000,40,70,35,1.6,52.5,1
2020,6,Data Engineer,10000,107000,25,90,70,1.6,52.5,0
2020,6,Full Stack Developer,40500,97500,20,80,50,1.6,52.5,0
2020,6,Network Engineer,12500,91500,15,45,55,1.6,52.5,0
2020,6,IT Project Manager,15500,120000,10,35,45,1.6,52.5,0
2020,6,UX/UI Designer,22500,87500,35,25,15,1.6,52.5,0
2021,1,Software Engineer,51000,98500,45,91,53,1.2,65,0
2021,1,Data Scientist,15500,118000,50,100,65,1.2,65,0
2021,1,DevOps Engineer,10800,123000,55,82,97,1.2,65,0
2021,1,Cybersecurity Analyst,9500,112000,40,65,45,1.2,65,0
2021,1,AI Research Scientist,5000,148000,35,100,55,1.2,65,1
2021,1,Cloud Architect,6800,138000,50,72,100,1.2,65,0
2021,1,Blockchain Developer,2800,142000,60,78,45,1.2,65,1
2021,1,Data Engineer,11200,115000,45,97,78,1.2,65,0
2021,1,Full Stack Developer,44000,102000,40,87,58,1.2,65,0
2021,1,Network Engineer,13500,96000,35,55,65,1.2,65,0
2021,1,IT Project Manager,16500,128000,30,45,55,1.2,65,0
2021,1,UX/UI Designer,23500,92000,55,35,25,1.2,65,0
2021,1,Database Administrator,12500,99500,40,65,75,1.2,65,0
2021,1,Systems Administrator,15500,94000,35,60,70,1.2,65,0
2021,1,QA Engineer,17500,89000,40,75,45,1.2,65,0
2021,1,AI Ethics Engineer,800,152000,70,85,30,1.2,65,1
2021,2,Software Engineer,51500,99000,46,92,54,1.3,66,0
2021,2,Data Scientist,15800,119000,51,100,66,1.3,66,0
2021,2,DevOps Engineer,11000,124000,56,83,98,1.3,66,0
2021,2,Cybersecurity Analyst,9700,113000,41,66,46,1.3,66,0
2021,2,AI Research Scientist,5200,149000,36,100,56,1.3,66,1
2021,2,Cloud Architect,7000,139000,51,73,100,1.3,66,0
2021,2,Blockchain Developer,3000,143000,61,79,46,1.3,66,1
2021,2,Data Engineer,11400,116000,46,98,79,1.3,66,0
2021,2,Full Stack Developer,44500,103000,41,88,59,1.3,66,0
2021,2,Network Engineer,13700,97000,36,56,66,1.3,66,0
2021,2,IT Project Manager,16700,129000,31,46,56,1.3,66,0
2021,2,UX/UI Designer,23700,92500,56,36,26,1.3,66,0
2021,2,Database Administrator,12700,100000,41,66,76,1.3,66,0
2021,2,Systems Administrator,15700,95000,36,61,71,1.3,66,0
2021,2,QA Engineer,17700,89500,41,76,46,1.3,66,0
2021,2,AI Ethics Engineer,900,153000,71,86,31,1.3,66,1
2021,3,Software Engineer,52000,99500,47,93,55,1.4,67,0
2021,3,Data Scientist,16000,120000,52,100,67,1.4,67,0
2021,3,DevOps Engineer,11200,125000,57,84,99,1.4,67,0
2021,3,Cybersecurity Analyst,9900,114000,42,67,47,1.4,67,0
2021,3,AI Research Scientist,5400,150000,37,100,57,1.4,67,1
2021,3,Cloud Architect,7200,140000,52,74,100,1.4,67,0
2021,3,Blockchain Developer,3200,144000,62,80,47,1.4,67,1
2021,3,Data Engineer,11600,117000,47,99,80,1.4,67,0
2021,3,Full Stack Developer,45000,104000,42,89,60,1.4,67,0
2021,3,Network Engineer,13900,98000,37,57,67,1.4,67,0
2021,3,IT Project Manager,16900,130000,32,47,57,1.4,67,0
2021,3,UX/UI Designer,23900,93000,57,37,27,1.4,67,0
2021,3,Database Administrator,12900,100500,42,67,77,1.4,67,0
2021,3,Systems Administrator,15900,96000,37,62,72,1.4,67,0
2021,3,QA Engineer,17900,90000,42,77,47,1.4,67,0
2021,3,AI Ethics Engineer,1000,154000,72,87,32,1.4,67,1
2021,4,Software Engineer,52500,100000,48,94,56,1.5,68,0
2021,4,Data Scientist,16200,121000,53,100,68,1.5,68,0
2021,4,DevOps Engineer,11400,126000,58,85,100,1.5,68,0
2021,4,Cybersecurity Analyst,10100,115000,43,68,48,1.5,68,0
2021,4,AI Research Scientist,5600,151000,38,100,58,1.5,68,1
2021,4,Cloud Architect,7400,141000,53,75,100,1.5,68,0
2021,4,Blockchain Developer,3400,145000,63,81,48,1.5,68,1
2021,4,Data Engineer,11800,118000,48,100,81,1.5,68,0
2021,4,Full Stack Developer,45500,105000,43,90,61,1.5,68,0
2021,4,Network Engineer,14100,99000,38,58,68,1.5,68,0
2021,4,IT Project Manager,17100,131000,33,48,58,1.5,68,0
2021,4,UX/UI Designer,24100,93500,58,38,28,1.5,68,0
2021,4,Database Administrator,13100,101000,43,68,78,1.5,68,0
2021,4,Systems Administrator,16100,97000,38,63,73,1.5,68,0
2021,4,QA Engineer,18100,90500,43,78,48,1.5,68,0
2021,4,AI Ethics Engineer,1100,155000,73,88,33,1.5,68,1
2021,5,Software Engineer,53000,100500,49,95,57,1.6,69,0
2021,5,Data Scientist,16400,122000,54,100,69,1.6,69,0
2021,5,DevOps Engineer,11600,127000,59,86,100,1.6,69,0
2021,5,Cybersecurity Analyst,10300,116000,44,69,49,1.6,69,0
2021,5,AI Research Scientist,5800,152000,39,100,59,1.6,69,1
2021,5,Cloud Architect,7600,142000,54,76,100,1.6,69,0
2021,5,Blockchain Developer,3600,146000,64,82,49,1.6,69,1
2021,5,Data Engineer,12000,119000,49,100,82,1.6,69,0
2021,5,Full Stack Developer,46000,106000,44,91,62,1.6,69,0
2022,1,AI Prompt Engineer,850,148000,88,82,35,1.8,82,1
2022,1,Web3 Developer,2200,138000,72,62,22,1.8,82,1
2022,1,Metaverse Developer,450,147000,82,58,28,1.8,82,1
2022,1,Green Tech Engineer,1200,118000,55,68,58,1.8,82,1
2022,1,Quantum Computing Researcher,350,162000,60,75,40,1.8,82,1
2022,1,Software Engineer,58000,106000,58,92,56,1.8,82,0
2022,1,Data Scientist,18500,122000,62,96,68,1.8,82,0
2022,1,DevOps Engineer,13500,129000,67,85,98,1.8,82,0
2022,1,Cybersecurity Analyst,12500,118000,52,68,48,1.8,82,0
2022,1,Cloud Architect,9500,144000,63,74,99,1.8,82,0
2022,2,AI Prompt Engineer,950,150000,89,83,36,1.9,84,1
2022,2,Web3 Developer,2500,140000,73,63,23,1.9,84,1
2022,2,Metaverse Developer,500,149000,83,59,29,1.9,84,1
2022,2,Green Tech Engineer,1300,119000,56,69,59,1.9,84,1
2022,2,Quantum Computing Researcher,400,164000,61,76,41,1.9,84,1
2022,2,Software Engineer,59000,107000,59,93,57,1.9,84,0
2022,2,Data Scientist,18800,123000,63,97,69,1.9,84,0
2022,2,DevOps Engineer,13800,130000,68,86,99,1.9,84,0
2022,2,Cybersecurity Analyst,12800,119000,53,69,49,1.9,84,0
2022,2,Cloud Architect,9700,145000,64,75,100,1.9,84,0
2022,3,AI Prompt Engineer,1100,152000,90,84,37,2,86,1
2022,3,Web3 Developer,2800,142000,74,64,24,2,86,1
2022,3,Metaverse Developer,550,151000,84,60,30,2,86,1
2022,3,Green Tech Engineer,1400,120000,57,70,60,2,86,1
2022,3,Quantum Computing Researcher,450,166000,62,77,42,2,86,1
2022,3,Software Engineer,60000,108000,60,94,58,2,86,0
2022,3,Data Scientist,19000,124000,64,98,70,2,86,0
2022,3,DevOps Engineer,14000,131000,69,87,100,2,86,0
2022,3,Cybersecurity Analyst,13000,120000,54,70,50,2,86,0
2022,3,Cloud Architect,9900,146000,65,76,100,2,86,0
2022,4,AI Prompt Engineer,1250,154000,91,85,38,2.1,88,1
2022,4,Web3 Developer,3100,144000,75,65,25,2.1,88,1
2022,4,Metaverse Developer,600,153000,85,61,31,2.1,88,1
2022,4,Green Tech Engineer,1500,121000,58,71,61,2.1,88,1
2022,4,Quantum Computing Researcher,500,168000,63,78,43,2.1,88,1
2022,4,Software Engineer,61000,109000,61,95,59,2.1,88,0
2022,4,Data Scientist,19200,125000,65,99,71,2.1,88,0
2022,4,DevOps Engineer,14200,132000,70,88,100,2.1,88,0
2022,4,Cybersecurity Analyst,13200,121000,55,71,51,2.1,88,0
2022,4,Cloud Architect,10100,147000,66,77,100,2.1,88,0
2022,5,AI Prompt Engineer,1400,156000,92,86,39,2.2,90,1
2022,5,Web3 Developer,3400,146000,76,66,26,2.2,90,1
2022,5,Metaverse Developer,650,155000,86,62,32,2.2,90,1
2022,5,Green Tech Engineer,1600,122000,59,72,62,2.2,90,1
2022,5,Quantum Computing Researcher,550,170000,64,79,44,2.2,90,1
2022,5,Software Engineer,62000,110000,62,96,60,2.2,90,0
2022,5,Data Scientist,19400,126000,66,100,72,2.2,90,0
2022,5,DevOps Engineer,14400,133000,71,89,100,2.2,90,0
2022,5,Cybersecurity Analyst,13400,122000,56,72,52,2.2,90,0
2022,5,Cloud Architect,10300,148000,67,78,100,2.2,90,0
2022,6,AI Prompt Engineer,1550,158000,93,87,40,2.3,92,1
2022,6,Web3 Developer,3700,148000,77,67,27,2.3,92,1
2022,6,Metaverse Developer,700,157000,87,63,33,2.3,92,1
2022,6,Green Tech Engineer,1700,123000,60,73,63,2.3,92,1
2022,6,Quantum Computing Researcher,600,172000,65,80,45,2.3,92,1
2022,6,Software Engineer,63000,111000,63,97,61,2.3,92,0
2022,6,Data Scientist,19600,127000,67,100,73,2.3,92,0
2022,6,DevOps Engineer,14600,134000,72,90,100,2.3,92,0
2022,6,Cybersecurity Analyst,13600,123000,57,73,53,2.3,92,0
2022,6,Cloud Architect,10500,149000,68,79,100,2.3,92,0
2023,1,AI Ethics Engineer,1200,160000,85,75,30,2,110,1
2023,1,AR/VR Engineer,4200,130000,70,70,40,2,110,0
2023,1,Quantum ML Engineer,600,170000,65,85,45,2,110,1
2023,1,Low-Code Developer,8500,105000,75,50,55,2,110,1
2023,1,Software Engineer,65000,115000,65,98,65,2,110,0
2023,1,Data Scientist,20000,130000,70,100,75,2,110,0
2023,1,DevOps Engineer,15000,137000,75,92,100,2,110,0
2023,1,Cybersecurity Analyst,14000,126000,60,75,55,2,110,0
2023,1,Cloud Architect,11000,152000,70,80,100,2,110,0
2023,2,AI Ethics Engineer,1300,162000,86,76,31,2.1,112,1
2023,2,AR/VR Engineer,4400,132000,71,71,41,2.1,112,0
2023,2,Quantum ML Engineer,650,172000,66,86,46,2.1,112,1
2023,2,Low-Code Developer,8800,106000,76,51,56,2.1,112,1
2023,2,Software Engineer,66000,116000,66,99,66,2.1,112,0
2023,2,Data Scientist,20500,132000,71,100,76,2.1,112,0
2023,2,DevOps Engineer,15300,138000,76,93,100,2.1,112,0
2023,2,Cybersecurity Analyst,14300,127000,61,76,56,2.1,112,0
2023,2,Cloud Architect,11200,153000,71,81,100,2.1,112,0
2023,3,AI Ethics Engineer,1400,164000,87,77,32,2.2,114,1
2023,3,AR/VR Engineer,4600,134000,72,72,42,2.2,114,0
2023,3,Quantum ML Engineer,700,174000,67,87,47,2.2,114,1
2023,3,Low-Code Developer,9100,107000,77,52,57,2.2,114,1
2023,3,Software Engineer,67000,117000,67,100,67,2.2,114,0
2023,3,Data Scientist,21000,134000,72,100,77,2.2,114,0
2023,3,DevOps Engineer,15600,139000,77,94,100,2.2,114,0
2023,3,Cybersecurity Analyst,14600,128000,62,77,57,2.2,114,0
2023,3,Cloud Architect,11400,154000,72,82,100,2.2,114,0
2024,1,Cybersecurity Ethicist,300,158000,80,35,15,2.5,140,1
2024,1,AI Governance Specialist,450,155000,85,65,25,2.5,140,1
2024,1,Robotics Software Engineer,2800,145000,60,80,50,2.5,140,0
2024,1,Software Engineer,70000,125000,70,100,70,2.5,140,0
2024,1,Data Scientist,22000,140000,75,100,80,2.5,140,0
2024,1,DevOps Engineer,16000,145000,80,95,100,2.5,140,0
2024,1,Cybersecurity Analyst,15000,135000,65,80,60,2.5,140,0
2024,1,Cloud Architect,12000,160000,75,85,100,2.5,140,0
2024,2,Cybersecurity Ethicist,350,160000,82,38,18,2.6,145,1
2024,2,AI Governance Specialist,500,157000,87,68,28,2.6,145,1
2024,2,Robotics Software Engineer,3000,147000,62,82,52,2.6,145,0
2024,2,Software Engineer,71000,126000,71,100,71,2.6,145,0
2024,2,Data Scientist,22500,142000,76,100,81,2.6,145,0
2024,2,DevOps Engineer,16300,146000,81,96,100,2.6,145,0
2024,2,Cybersecurity Analyst,15300,136000,66,81,61,2.6,145,0
2024,2,Cloud Architect,12300,162000,76,86,100,2.6,145,0
2024,3,Cybersecurity Ethicist,400,162000,84,40,20,2.7,150,1
2024,3,AI Governance Specialist,550,159000,89,70,30,2.7,150,1
2024,3,Robotics Software Engineer,3200,149000,64,84,54,2.7,150,0
2024,3,Software Engineer,72000,127000,72,100,72,2.7,150,0
2024,3,Data Scientist,23000,144000,77,100,82,2.7,150,0
2024,3,DevOps Engineer,16600,147000,82,97,100,2.7,150,0
2024,3,Cybersecurity Analyst,15600,137000,67,82,62,2.7,150,0
2024,3,Cloud Architect,12600,164000,77,87,100,2.7,150,0
